bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win,time
0,127.105004,38.40573393940638,125.465309,33.287251273674485,7010,0,0,0,0,6,9,3490,3520,-30,30,168.73462,83.37427,724.0,0.0,0.0,125.15454,123.552,724.0,0.0,0.0,79.30664,158.81055,724.0,0.0,0.0,89.01172,149.04199,724.0,0.0,0.0,155.86108,87.17969,594.0,0.0,0.0,83.65527,170.94019,724.0,0.0,0.0,127.76221,126.23242,724.0,0.0,0.0,175.24487,93.16675,724.0,0.0,0.0,169.87744,100.46533,724.0,0.0,0.0,96.44165,161.8899,624.0,0.0,0.0,farm,0,00:00:00
1,123.53418,40.33459482644562,125.4809087,32.02330796145348,7446,0,0,0,0,7,9,3725,3721,4,4,171.72656,87.855225,850.0,0.0,0.0,124.97925,126.502686,773.0,0.0,0.0,78.89307,155.54932,784.0,0.0,0.0,79.22461,154.84863,709.0,0.0,0.0,163.00586,87.34912,609.0,0.0,0.0,80.18701,165.72119,784.0,0.0,0.0,125.99927,127.417725,766.0,0.0,0.0,166.94629,97.066895,813.0,0.0,0.0,161.11206,93.381836,719.0,0.0,0.0,83.26782,159.11646,639.0,0.0,0.0,farm,0,00:00:30
2,123.46142539999998,37.39618683864887,124.449071,37.61986540252612,8526,1,1,0,0,7,9,4187,4339,-152,152,162.40771,79.85156,917.0,0.0,0.0,123.332275,126.852295,1017.0,0.0,0.0,80.8667,160.95117,975.0,0.0,0.0,85.82373,159.73999,769.0,0.0,0.0,163.30737,83.816895,509.0,0.0,1.0,80.76831,168.8352,911.0,0.0,0.0,124.920654,125.21704,893.0,0.0,0.0,163.73145,87.15283,926.0,0.0,0.0,162.1521,86.36963,955.0,1.0,0.0,87.303955,165.7041,654.0,0.0,0.0,farm,0,00:01:00
3,130.8125966,41.37665423531809,131.5309816,29.464005060856262,9284,1,1,0,0,8,9,4584,4700,-116,116,175.5227,100.40112,1085.0,0.0,0.0,130.43066,128.24292,1147.0,0.0,0.0,82.235596,157.57422,1094.0,0.0,0.0,94.19946,161.22656,704.0,0.0,0.0,176.0503,95.56445,554.0,0.0,1.0,81.6062,170.38306,1037.0,0.0,0.0,133.46118,132.6211,930.0,0.0,0.0,173.06909,103.53516,1094.0,0.0,0.0,172.29956,103.884766,970.0,1.0,0.0,89.25122,161.87646,669.0,0.0,0.0,farm,0,00:01:30
4,128.83578949999998,39.69260305598082,130.66298799999998,34.044479141001005,10327,1,1,0,0,8,9,4989,5338,-349,349,174.4685,92.70996,1167.0,0.0,0.0,118.78174,121.361084,1244.0,0.0,0.0,91.56372,166.18823,1260.0,0.0,0.0,90.64209,161.95264,719.0,0.0,0.0,161.6289,87.74756,599.0,0.0,1.0,82.220215,172.3872,1226.0,0.0,0.0,123.49951,124.52344,1098.0,0.0,0.0,174.65576,104.46362,1341.0,0.0,0.0,178.36914,104.041016,1015.0,1.0,0.0,92.52832,171.25513,658.0,0.0,0.0,farm,0,00:02:00
5,128.487208,45.748347711618095,126.0548835,34.45058157105383,11680,1,1,0,0,10,6,5650,6030,-380,380,172.42822,85.04297,1295.0,0.0,0.0,125.98511,125.39722,1493.0,0.0,0.0,79.25806,159.70752,1411.0,0.0,0.0,72.13257,162.63623,812.0,0.0,0.0,173.9143,85.11719,639.0,0.0,1.0,84.890625,166.22192,1442.0,0.0,0.0,125.41455,125.58472,1271.0,0.0,0.0,177.29395,99.13794,1524.0,0.0,0.0,185.8003,90.394775,1126.0,1.0,0.0,87.754395,161.30835,667.0,0.0,0.0,farm,0,00:02:30
6,127.0305915,43.46080503308674,125.7837405,34.33260356949778,12788,1,1,0,0,10,7,6270,6518,-248,248,173.07349,82.6792,1503.0,0.0,0.0,124.63989,125.45044,1662.0,0.0,0.0,80.02197,161.34546,1564.0,0.0,0.0,78.62085,157.03003,857.0,0.0,0.0,177.48999,79.926025,684.0,0.0,1.0,80.26343,163.43164,1594.0,0.0,0.0,127.04663,127.69702,1391.0,0.0,0.0,174.64014,97.60791,1680.0,0.0,0.0,168.00098,98.70044,1141.0,1.0,0.0,86.508545,163.96924,712.0,0.0,0.0,farm,0,00:03:00
7,125.7414055,39.88313575952032,125.792139,34.19598014565664,14142,1,1,0,0,11,8,6983,7159,-176,176,172.24097,85.49048,1754.0,0.0,0.0,123.26416,125.97363,1863.0,0.0,0.0,81.430664,156.51392,1810.0,0.0,0.0,84.093506,155.94092,782.0,0.0,0.0,165.29785,85.71216,774.0,0.0,1.0,79.43115,169.76367,1689.0,0.0,0.0,125.323975,125.22363,1719.0,0.0,0.0,174.9768,93.33081,1831.0,0.0,0.0,159.70679,95.2146,1150.0,1.0,0.0,91.64819,164.75757,770.0,0.0,0.0,gang,0,00:03:30
8,123.6208496,37.47287015602812,130.5012934,28.535386160361977,15022,1,1,0,0,11,10,7441,7581,-140,140,166.74829,95.04614,1868.0,0.0,0.0,122.74609,126.22046,1971.0,0.0,0.0,81.57715,148.1604,2046.0,0.0,0.0,85.266846,155.87549,737.0,0.0,0.0,166.5227,89.718994,819.0,0.0,1.0,82.94751,168.02246,1821.0,0.0,0.0,122.385254,127.16797,1801.0,0.0,0.0,174.77393,101.41699,1962.0,0.0,0.0,142.38306,128.73364,1145.0,1.0,0.0,90.857666,164.65039,852.0,0.0,0.0,farm,0,00:04:00
9,127.855908,43.86452942092121,129.7401865,29.360995864542065,16635,3,3,0,0,11,9,7847,8788,-941,941,174.98169,93.68555,2066.0,0.0,0.0,136.52393,124.74878,2032.0,0.0,1.0,79.09961,153.89722,2091.0,0.0,0.0,83.29321,159.61768,763.0,0.0,1.0,176.40503,91.61304,895.0,0.0,1.0,82.60205,161.79907,2167.0,1.0,0.0,124.67651,140.54028,2192.0,1.0,0.0,175.4165,97.06445,2233.0,0.0,0.0,167.10474,112.928955,1282.0,1.0,0.0,78.45581,161.50684,914.0,0.0,0.0,farm,0,00:04:30
10,127.5265869,43.82234679283229,129.9120849,34.55792000244597,17782,4,4,0,0,13,6,8105,9677,-1572,1572,175.85254,96.60156,2061.0,0.0,1.0,132.14795,129.77612,2114.0,0.0,1.0,77.174805,165.44604,2232.0,0.0,0.0,80.135254,162.08008,758.0,0.0,1.0,169.94409,80.463135,940.0,0.0,1.0,78.1792,166.99512,2393.0,1.0,0.0,134.62451,133.67505,2365.0,1.0,0.0,174.51245,86.34912,2434.0,0.0,0.0,169.06958,111.954834,1479.0,2.0,0.0,83.62549,165.77979,1006.0,0.0,0.0,farm,0,00:05:00
11,122.356299,42.60768515614525,128.8867435,30.66573943759081,19526,5,5,0,0,15,8,8889,10637,-1748,1748,181.96948,88.849365,2279.0,0.0,1.0,118.36865,131.4585,2323.0,0.0,1.0,77.23755,156.10352,2302.0,0.0,1.0,76.822754,155.04272,919.0,0.0,1.0,167.6936,78.000244,1066.0,0.0,1.0,73.52295,161.44067,2726.0,1.0,0.0,119.73633,130.49512,2462.0,1.0,0.0,175.00269,107.528076,2632.0,0.0,0.0,142.82715,116.78906,1524.0,2.0,0.0,90.381836,163.16016,1293.0,1.0,0.0,farm,0,00:05:30
12,127.2638915,36.62857226878599,137.1990714,34.03464205117253,21374,7,7,0,0,17,7,9630,11744,-2114,2114,171.59497,83.96533,2478.0,0.0,1.0,125.57471,134.25317,2584.0,1.0,2.0,87.86084,165.71484,2503.0,0.0,1.0,100.136475,159.3894,1004.0,0.0,1.0,156.65283,80.802734,1061.0,0.0,1.0,83.63843,169.47925,2915.0,1.0,0.0,115.7583,125.61401,2893.0,2.0,0.0,157.5105,120.8855,2888.0,0.0,0.0,180.63818,164.99854,1632.0,2.0,1.0,93.27368,166.88794,1416.0,1.0,0.0,gang,0,00:06:00
