bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
0,127.92771,38.38699602148073,127.66106,35.67025734056184,7130,0,0,0,0,6,8,3615,3515,100,100,168.61426,83.423584,723.0,0.0,0.0,125.33496,123.40869,723.0,0.0,0.0,78.44238,161.17041,723.0,0.0,0.0,100.49072,160.64917,723.0,0.0,0.0,157.69165,92.288086,723.0,0.0,0.0,82.86499,171.12964,723.0,0.0,0.0,125.97119,126.88086,723.0,0.0,0.0,176.76172,92.89746,723.0,0.0,0.0,170.71216,94.49512,723.0,0.0,0.0,92.39307,170.26758,623.0,0.0,0.0,farm
1,122.0857904,37.177479995572966,122.9170654,37.8289925366828,7765,0,0,0,0,9,9,3883,3882,1,1,170.34106,89.35425,892.0,0.0,0.0,120.84082,118.67969,851.0,0.0,0.0,78.09155,160.19287,824.0,0.0,0.0,86.45801,160.26733,658.0,0.0,0.0,158.62085,80.559814,658.0,0.0,0.0,79.944824,167.698,853.0,0.0,0.0,123.25757,124.98804,854.0,0.0,0.0,158.71313,80.97656,803.0,0.0,0.0,157.30103,82.07251,754.0,0.0,0.0,87.28906,164.38159,618.0,0.0,0.0,farm
2,119.9582516,33.68880366096228,125.6401865,40.05429812935478,8318,0,0,0,0,10,10,4204,4114,90,90,155.47803,82.48682,1019.0,0.0,0.0,123.57593,124.27539,892.0,0.0,0.0,78.95654,165.65088,1032.0,0.0,0.0,81.583496,166.59375,653.0,0.0,0.0,158.1084,80.83179,608.0,0.0,0.0,82.57178,172.13916,943.0,0.0,0.0,128.14331,127.34204,941.0,0.0,0.0,154.33838,88.22095,861.0,0.0,0.0,147.3872,81.296875,689.0,0.0,0.0,89.43945,167.56421,680.0,0.0,0.0,farm
3,124.546778,35.543280295684205,124.3356206,33.34169416853704,9335,1,1,0,0,11,10,4442,4893,-451,451,163.92944,85.634766,1115.0,0.0,0.0,120.90234,125.94678,1022.0,0.0,0.0,79.12012,150.70898,1084.0,0.0,0.0,95.54053,164.94873,698.0,0.0,0.0,163.73804,89.85474,523.0,0.0,1.0,87.54712,159.66602,1168.0,0.0,0.0,125.24048,123.12744,1043.0,0.0,0.0,160.2251,87.2561,974.0,0.0,0.0,161.50635,94.06421,1043.0,1.0,0.0,87.71826,162.14844,665.0,0.0,0.0,farm
4,124.197558,39.62117156472521,123.7639421,32.28706221213131,10219,1,1,0,0,11,10,4849,5370,-521,521,172.03491,87.72095,1204.0,0.0,0.0,117.734375,120.352295,1099.0,0.0,0.0,79.30835,150.59888,1265.0,0.0,0.0,88.37988,155.23438,713.0,0.0,0.0,162.0022,87.47974,568.0,0.0,1.0,80.643555,161.31348,1222.0,0.0,0.0,122.7876,120.30078,1276.0,0.0,0.0,176.58154,104.124756,1104.0,0.0,0.0,155.9707,85.0564,1058.0,1.0,0.0,86.53247,165.45776,710.0,0.0,0.0,farm
5,127.85624950000002,45.63004091354538,127.3957035,34.52634316484943,11087,1,1,0,0,14,5,5486,5601,-115,115,183.12744,89.52539,1338.0,0.0,0.0,126.25757,118.053955,1281.0,0.0,0.0,79.47827,164.61304,1504.0,0.0,0.0,69.72583,164.55322,753.0,0.0,0.0,184.83716,86.67944,610.0,0.0,1.0,83.01221,168.77979,1340.0,0.0,0.0,122.981445,124.91675,1413.0,0.0,0.0,175.27563,104.33862,1140.0,0.0,0.0,161.79028,90.67798,953.0,1.0,0.0,92.07666,161.81885,755.0,0.0,0.0,farm
6,126.610351,35.70506588612926,129.7722414,35.393015493572136,12420,1,1,0,0,15,10,6004,6416,-412,412,170.01367,89.29028,1456.0,0.0,0.0,120.72461,122.0293,1421.0,0.0,0.0,100.85376,175.29883,1704.0,0.0,0.0,86.156494,159.38354,798.0,0.0,0.0,160.99023,91.77759,625.0,0.0,1.0,84.43555,170.09766,1667.0,0.0,0.0,125.134766,125.81616,1549.0,0.0,0.0,171.56665,100.440674,1452.0,0.0,0.0,156.63159,95.2439,998.0,1.0,0.0,89.59619,168.34448,750.0,0.0,0.0,farm
7,137.8740489,36.36909251648903,125.3629651,29.6204612248865,13332,1,1,0,0,16,8,6466,6866,-400,400,180.80469,84.80591,1599.0,0.0,0.0,112.54883,117.2439,1626.0,0.0,0.0,99.45215,174.6399,1841.0,0.0,0.0,114.99658,126.26611,793.0,0.0,0.0,168.08789,88.9021,607.0,0.0,1.0,93.47095,174.06323,1930.0,0.0,0.0,123.656494,122.25049,1681.0,0.0,0.0,178.4961,120.57178,1467.0,0.0,0.0,186.68994,120.752686,993.0,1.0,0.0,120.536865,124.133545,795.0,0.0,0.0,farm
8,134.76601499999998,34.31297012193211,126.8222904,25.69552935156439,14558,1,1,0,0,16,10,6984,7574,-590,590,175.30225,88.09326,1843.0,0.0,0.0,117.6604,121.67749,1675.0,0.0,0.0,93.67993,168.84033,1963.0,0.0,0.0,123.58838,127.14722,808.0,0.0,0.0,122.55298,124.23682,695.0,0.0,1.0,94.0603,168.00757,2130.0,0.0,0.0,124.2583,123.884766,1895.0,0.0,0.0,189.67065,121.468994,1640.0,0.0,0.0,178.13037,96.684814,1119.0,1.0,0.0,128.75659,128.18164,790.0,0.0,0.0,gang
9,134.0416025,27.902462137035823,116.7105716,30.054006126337725,16080,1,1,0,0,16,8,7925,8155,-230,230,160.46191,91.27954,2031.0,0.0,0.0,119.92969,119.53467,1940.0,0.0,0.0,90.289795,160.12158,2299.0,0.0,0.0,149.9148,90.996826,869.0,0.0,0.0,155.41089,90.03613,786.0,0.0,1.0,89.36084,161.74365,2393.0,0.0,0.0,124.89429,124.26001,1865.0,0.0,0.0,163.8147,92.68921,1832.0,0.0,0.0,156.46997,90.3772,1260.0,1.0,0.0,129.86914,146.0669,805.0,0.0,0.0,team_fight
10,129.5305179,33.13591675217341,128.9654049,31.0364353521218,17009,2,2,0,0,16,8,8646,8363,283,283,169.69312,83.83179,2184.0,0.0,0.0,117.351074,118.11011,1993.0,0.0,0.0,90.85962,166.78198,2479.0,0.0,0.0,130.28564,114.17407,1086.0,1.0,0.0,118.821045,113.406494,904.0,0.0,1.0,85.90137,163.58032,2596.0,0.0,0.0,116.83496,124.599365,1880.0,0.0,0.0,168.9021,99.35303,1827.0,0.0,0.0,181.40625,179.20312,1210.0,1.0,1.0,115.25,126.61377,850.0,0.0,0.0,gang
11,124.903246,33.44016232736292,125.3382322,22.04195730418312,18618,2,2,0,0,21,9,9541,9077,464,464,184.87817,89.97974,2510.0,0.0,0.0,115.67651,125.538086,2123.0,0.0,0.0,80.60034,155.21094,2808.0,0.0,0.0,130.99219,120.28076,1100.0,1.0,0.0,122.53784,120.228516,1000.0,0.0,1.0,79.91162,162.29077,2916.0,0.0,0.0,121.12207,128.63281,2052.0,0.0,0.0,172.57544,97.75391,2042.0,0.0,0.0,123.85913,122.42236,1205.0,1.0,1.0,116.87915,131.04443,862.0,0.0,0.0,def
12,128.51669859999998,31.74278207947573,123.1225828,23.051719306312425,19650,2,2,0,0,23,8,10038,9612,426,426,169.36987,87.20459,2743.0,0.0,0.0,121.3562,119.670654,2280.0,0.0,0.0,78.46362,159.60522,2875.0,0.0,0.0,138.31812,111.57715,1145.0,1.0,0.0,125.92627,114.122314,995.0,0.0,1.0,77.288086,158.18408,3111.0,0.0,0.0,126.03174,126.9668,2059.0,0.0,0.0,171.76196,97.7793,2276.0,0.0,0.0,143.17163,128.21704,1289.0,1.0,1.0,133.47949,127.89868,877.0,0.0,0.0,def
13,130.0900147,41.95872650998334,134.080712,25.76087233989166,21186,2,2,0,0,24,7,10818,10368,450,450,172.53955,84.47632,3019.0,0.0,0.0,125.46094,123.27734,2479.0,0.0,0.0,106.706055,167.35034,3031.0,0.0,0.0,74.40967,128.1311,1234.0,1.0,0.0,98.384766,130.70679,1055.0,0.0,1.0,86.90845,171.07886,3322.0,0.0,0.0,123.658936,126.50195,2307.0,0.0,0.0,189.46777,119.79443,2486.0,0.0,0.0,192.83691,130.89233,1334.0,1.0,1.0,130.5271,158.59766,919.0,0.0,0.0,farm
14,114.3373284,37.55687570084324,139.7559819,24.88777853387751,22557,2,2,0,0,25,8,11573,10984,589,589,166.28906,85.894775,3254.0,0.0,0.0,119.93237,122.40503,2690.0,0.0,0.0,84.559814,156.99463,3222.0,0.0,0.0,82.9209,156.50073,1279.0,1.0,0.0,108.93506,116.708984,1128.0,0.0,1.0,85.021484,158.81714,3451.0,0.0,0.0,138.79712,151.40308,2361.0,0.0,0.0,184.95288,131.93286,2786.0,0.0,0.0,83.833496,156.93579,1376.0,1.0,1.0,88.1311,159.9668,1010.0,0.0,0.0,team_fight
15,119.6412845,30.34156201256181,130.24858360000002,25.997939268716426,24795,4,4,0,0,25,9,12714,12081,633,633,172.50317,86.79541,3501.0,0.0,0.0,121.61377,129.3081,3087.0,1.0,0.0,97.453125,167.85254,3451.0,0.0,0.0,92.69629,98.1897,1413.0,1.0,1.0,103.458496,127.288086,1262.0,0.0,1.0,84.81177,160.57422,3722.0,1.0,1.0,124.386475,132.71973,2816.0,0.0,0.0,171.65845,110.35205,2892.0,0.0,0.0,113.791504,146.09863,1470.0,1.0,1.0,114.039795,143.30737,1181.0,0.0,0.0,team_fight
16,117.75271,21.44501478147919,127.7840815,20.75085764508248,26617,5,5,0,0,25,10,13457,13160,297,297,167.38403,95.0686,3723.0,0.0,0.0,122.3689,114.543945,3285.0,1.0,0.0,90.349365,160.5105,3714.0,0.0,0.0,118.94995,115.95947,1458.0,1.0,1.0,110.02881,126.87695,1277.0,0.0,2.0,89.82422,164.76587,4076.0,1.0,1.0,123.25391,125.32617,3111.0,1.0,0.0,117.95947,124.38794,3052.0,0.0,0.0,114.813965,122.07495,1580.0,1.0,1.0,122.59448,128.32642,1341.0,0.0,0.0,team_fight
